
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,NBA,PHI,44,35,3,,28.4,6-6,214,,79,19060,3277,7049,.465,947,2615,.362,2330,4434,.525,1544,1868,.827,869,2331,3200,1960,669,472,892,1614,9045
2022-23,NBA,PHI,54,28,2,,28.2,6-6,224,,82,19880,3347,6870,.487,1035,2675,.387,2312,4195,.551,1719,2058,.835,715,2641,3356,2063,635,389,1121,1675,9448
2021-22,NBA,PHI,51,31,2,,26.8,6-6,220,,82,19805,3230,6932,.466,950,2608,.364,2280,4324,.527,1605,1955,.821,700,2770,3470,1945,633,435,1027,1590,9015
2020-21,NBA,PHI,49,23,1,,27.1,6-7,222,,72,17430,2981,6257,.476,811,2169,.374,2170,4088,.531,1409,1836,.767,722,2522,3244,1706,655,447,1040,1456,8182
2019-20,NBA,PHI,43,30,3,,26.3,6-7,224,,73,17595,3000,6417,.468,848,2307,.368,2152,4110,.524,1236,1638,.755,764,2553,3317,1884,586,389,1037,1529,8084
2018-19,NBA,PHI,51,31,2,,26.4,6-7,221,,82,19805,3407,7233,.471,889,2474,.359,2518,4759,.529,1742,2258,.771,892,3025,3917,2207,606,432,1223,1745,9445
2017-18,NBA,PHI,52,30,3,,25.8,6-7,220,,82,19780,3349,7098,.472,901,2445,.369,2448,4653,.526,1405,1868,.752,893,2996,3889,2221,682,420,1353,1811,9004
2016-17,NBA,PHI,28,54,4,,24.6,6-7,219,,82,19830,3088,6992,.442,831,2443,.340,2257,4549,.496,1393,1806,.771,807,2706,3513,1949,692,420,1366,1793,8400
2015-16,NBA,PHI,10,72,5,,23.3,6-6,215,,82,19805,2970,6887,.431,764,2255,.339,2206,4632,.476,1284,1850,.694,777,2605,3382,1765,680,495,1343,1780,7988
2014-15,NBA,PHI,18,64,4,,23.2,6-7,214,,82,19805,2765,6777,.408,692,2160,.320,2073,4617,.449,1320,1953,.676,978,2536,3514,1683,789,487,1453,1778,7542
2013-14,NBA,PHI,19,63,5,,23.4,6-7,213,,82,19855,3108,7150,.435,577,1847,.312,2531,5303,.477,1362,1918,.710,949,2556,3505,1791,765,330,1384,1844,8155
2012-13,NBA,PHI,34,48,4,,25.2,6-7,213,,82,19755,3059,6895,.444,518,1438,.360,2541,5457,.466,1004,1377,.729,896,2493,3389,1867,609,384,1070,1505,7640
2011-12,NBA,PHI,35,31,3,,24.9,6-6,214,,66,15915,2471,5516,.448,349,963,.362,2122,4553,.466,889,1198,.742,704,2144,2848,1453,526,340,738,1157,6180
2010-11,NBA,PHI,41,41,3,,24.7,6-6,217,,82,19930,3125,6776,.461,443,1248,.355,2682,5528,.485,1426,1851,.770,850,2578,3428,1861,621,355,1063,1592,8119
2009-10,NBA,PHI,27,55,4,,25.4,6-6,216,,82,19805,3087,6706,.460,474,1381,.343,2613,5325,.491,1366,1808,.756,941,2421,3362,1723,667,439,1192,1677,8014
2008-09,NBA,PHI,41,41,2,,26.1,6-6,217,,82,19755,2997,6532,.459,341,1072,.318,2656,5460,.486,1652,2216,.745,1039,2336,3375,1647,658,415,1157,1650,7987
2007-08,NBA,PHI,40,42,3,,25.3,6-6,215,,82,19755,3056,6648,.460,302,952,.317,2754,5696,.483,1509,2137,.706,1067,2370,3437,1673,712,400,1172,1620,7923
2006-07,NBA,PHI,35,47,3,,26.2,6-6,213,,82,19880,2932,6408,.458,284,823,.345,2648,5585,.474,1637,2135,.767,899,2353,3252,1669,590,390,1258,1671,7785
2005-06,NBA,PHI,38,44,2,,26.5,6-6,213,,82,19905,3001,6546,.458,375,1031,.364,2626,5515,.476,1770,2330,.760,873,2425,3298,1653,651,404,1159,1712,8147
2004-05,NBA,PHI,43,39,2,,26.4,6-6,219,,82,19855,2946,6736,.437,505,1453,.348,2441,5283,.462,1731,2194,.789,909,2536,3445,1710,756,321,1274,1878,8128
2003-04,NBA,PHI,33,49,5,,27.5,6-6,219,,82,19855,2682,6260,.428,339,992,.342,2343,5268,.445,1512,2009,.753,941,2408,3349,1640,654,358,1307,1701,7215
2002-03,NBA,PHI,48,34,2,,28.3,6-5,213,,82,19855,2975,6640,.448,245,787,.311,2730,5853,.466,1746,2253,.775,1042,2415,3457,1771,844,284,1212,1804,7941
2001-02,NBA,PHI,43,39,4,,29.0,6-6,211,,82,19730,2804,6436,.436,214,715,.299,2590,5721,.453,1639,2104,.779,1092,2534,3626,1638,705,363,1256,1645,7461
2000-01,NBA,PHI,56,26,1,,28.2,6-6,210,,82,19855,2902,6487,.447,262,803,.326,2640,5684,.464,1697,2277,.745,1075,2600,3675,1692,690,408,1292,1673,7763
1999-00,NBA,PHI,49,33,3,,27.1,6-6,208,,82,19830,2993,6776,.442,208,643,.323,2785,6133,.454,1577,2226,.708,1147,2468,3615,1817,791,386,1284,1939,7771
1998-99,NBA,PHI,28,22,3,,26.0,6-6,206,,50,12150,1656,3883,.426,98,371,.264,1558,3512,.444,1073,1486,.722,729,1428,2157,934,542,271,822,1152,4483
1997-98,NBA,PHI,31,51,7,,25.4,6-6,213,,82,19755,2837,6409,.443,243,810,.300,2594,5599,.463,1734,2352,.737,1125,2294,3419,1729,729,490,1354,1878,7651
1996-97,NBA,PHI,22,60,6,,25.5,6-6,213,,82,19780,3003,6850,.438,433,1356,.319,2570,5494,.468,1776,2450,.725,1267,2355,3622,1695,683,394,1437,1733,8215
