Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,NBA,BOS,62,16,1,,28.3,6-7,216,,78,18870,3419,7024,.487,1288,3315,.389,2131,3709,.575,1298,1604,.809,828,2659,3487,2092,517,506,903,1269,9424
2022-23,NBA,BOS,57,25,1,,27.4,6-6,222,,82,19980,3460,7278,.475,1315,3492,.377,2145,3786,.567,1436,1769,.812,796,2921,3717,2186,521,430,1095,1542,9671
2021-22,NBA,BOS,51,31,1,,26.1,6-6,218,,82,19905,3341,7167,.466,1085,3044,.356,2256,4123,.547,1397,1713,.816,863,2915,3778,2036,591,478,1118,1521,9164
2020-21,NBA,BOS,36,36,4,,25.1,6-5,220,,72,17380,2985,6401,.466,979,2618,.374,2006,3783,.530,1160,1496,.775,765,2421,3186,1689,556,383,1012,1471,8109
2019-20,NBA,BOS,48,24,2,,25.3,6-5,221,,72,17430,2971,6448,.461,905,2487,.364,2066,3961,.522,1336,1668,.801,768,2549,3317,1655,595,406,995,1553,8183
2018-19,NBA,BOS,49,33,3,,25.7,6-6,221,,82,19780,3451,7423,.465,1032,2829,.365,2419,4594,.527,1282,1598,.802,804,2849,3653,2155,706,435,1052,1670,9216
2017-18,NBA,BOS,55,27,2,,24.7,6-6,221,,82,19805,3141,6975,.450,939,2492,.377,2202,4483,.491,1308,1697,.771,767,2878,3645,1842,604,373,1149,1618,8529
2016-17,NBA,BOS,53,29,1,,25.9,6-5,219,,82,19755,3168,6978,.454,985,2742,.359,2183,4236,.515,1536,1903,.807,744,2698,3442,2069,617,340,1088,1686,8857
2015-16,NBA,BOS,48,34,2,,25.2,6-5,220,,82,19780,3216,7318,.439,717,2142,.335,2499,5176,.483,1520,1929,.788,950,2733,3683,1981,752,348,1127,1796,8669
2014-15,NBA,BOS,40,42,2,,25.0,6-6,221,,82,19880,3193,7211,.443,660,2021,.327,2533,5190,.488,1266,1678,.754,910,2685,3595,2009,674,294,1133,1738,8312
2013-14,NBA,BOS,25,57,4,,25.4,6-6,221,,82,19730,2996,6883,.435,575,1729,.333,2421,5154,.470,1325,1706,.777,980,2505,3485,1726,584,343,1261,1743,7892
2012-13,NBA,BOS,41,40,3,,29.1,6-6,214,,81,19840,3001,6459,.465,498,1390,.358,2503,5069,.494,1318,1698,.776,654,2533,3187,1843,667,365,1181,1717,7818
2011-12,NBA,BOS,39,27,1,,29.3,6-6,213,,66,15940,2341,5086,.460,363,988,.367,1978,4098,.483,1017,1308,.778,509,2051,2560,1557,498,362,979,1315,6062
2010-11,NBA,BOS,56,26,1,,29.5,6-6,223,,82,19780,3023,6219,.486,408,1119,.365,2615,5100,.513,1459,1895,.770,639,2542,3181,1921,676,344,1195,1678,7913
2009-10,NBA,BOS,50,32,1,,29.4,6-6,219,,82,19780,3039,6294,.483,499,1433,.348,2540,4861,.523,1559,2090,.746,716,2449,3165,1930,701,402,1219,1816,8136
2008-09,NBA,BOS,62,20,1,,27.8,6-6,222,,82,19880,3075,6333,.486,538,1355,.397,2537,4978,.510,1587,2075,.765,869,2586,3455,1862,621,387,1280,1897,8275
2007-08,NBA,BOS,66,16,1,,27.9,6-6,220,,82,19755,2986,6286,.475,596,1564,.381,2390,4722,.506,1677,2176,.771,830,2615,3445,1833,696,379,1246,1864,8245
2006-07,NBA,BOS,24,58,5,,23.5,6-6,221,,82,19855,2858,6454,.443,471,1283,.367,2387,5171,.462,1670,2178,.767,918,2391,3309,1630,589,382,1350,1971,7857
2005-06,NBA,BOS,33,49,3,,25.3,6-7,227,,82,19880,2951,6322,.467,467,1290,.362,2484,5032,.494,1664,2204,.755,813,2432,3245,1716,578,422,1359,2033,8033
2004-05,NBA,BOS,45,37,1,,27.1,6-7,218,,82,19880,3046,6511,.468,437,1252,.349,2609,5259,.496,1775,2323,.764,909,2438,3347,1810,667,423,1297,2000,8304
2003-04,NBA,BOS,36,46,4,,26.4,6-7,218,,82,19705,2843,6415,.443,553,1599,.346,2290,4816,.475,1572,2095,.750,851,2440,3291,1683,770,331,1332,1837,7811
2002-03,NBA,BOS,44,38,3,,26.9,6-6,218,,82,19830,2700,6509,.415,719,2155,.334,1981,4354,.455,1480,1994,.742,849,2471,3320,1575,720,303,1147,1758,7599
