Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,NBA,LAL,44,33,4,,28.0,6-7,221,,77,18655,3362,6749,.498,906,2403,.377,2456,4346,.565,1449,1859,.779,633,2607,3240,2195,559,428,1039,1213,9079
2022-23,NBA,LAL,43,39,5,,27.9,6-6,212,,82,19880,3516,7298,.482,885,2558,.346,2631,4740,.555,1691,2182,.775,818,2930,3748,2072,526,378,1154,1466,9608
2021-22,NBA,LAL,33,49,4,,30.2,6-5,221,,82,19980,3415,7279,.469,982,2826,.347,2433,4453,.546,1380,1884,.732,782,2826,3608,1968,626,425,1191,1654,9192
2020-21,NBA,LAL,42,30,3,,28.2,6-6,223,,72,17455,2925,6197,.472,796,2248,.354,2129,3949,.539,1241,1679,.739,695,2490,3185,1775,562,386,1095,1377,7887
2019-20,NBA,LAL,52,19,1,,29.5,6-6,224,,71,17090,3006,6269,.480,782,2242,.349,2224,4027,.552,1260,1728,.729,757,2490,3247,1803,612,468,1077,1471,8054
2018-19,NBA,LAL,37,45,4,,26.2,6-7,219,,82,19780,3491,7425,.470,847,2541,.333,2644,4884,.541,1336,1910,.699,835,2985,3820,2096,618,440,1284,1701,9165
2017-18,NBA,LAL,35,47,3,,23.7,6-7,216,,82,19905,3338,7248,.461,822,2384,.345,2516,4864,.517,1364,1910,.714,876,2927,3803,1949,633,388,1295,1736,8862
2016-17,NBA,LAL,26,56,4,,25.1,6-7,216,,82,19705,3224,7164,.450,730,2110,.346,2494,5054,.493,1397,1853,.754,933,2636,3569,1716,674,320,1243,1698,8575
2015-16,NBA,LAL,17,65,5,,26.5,6-7,219,,82,19730,2880,6956,.414,639,2016,.317,2241,4940,.454,1583,2028,.781,878,2645,3523,1478,593,337,1124,1662,7982
2014-15,NBA,LAL,21,61,5,,27.0,6-7,218,,82,19930,3054,7020,.435,532,1546,.344,2522,5474,.461,1433,1935,.741,952,2647,3599,1715,578,366,1086,1741,8073
2013-14,NBA,LAL,27,55,5,,26.8,6-7,214,,82,19705,3139,6980,.450,774,2032,.381,2365,4948,.478,1390,1835,.757,745,2620,3365,2006,611,446,1239,1627,8442
2012-13,NBA,LAL,45,37,3,,30.7,6-6,216,,82,19755,3041,6640,.458,715,2015,.355,2326,4625,.503,1584,2289,.692,942,2732,3674,1818,576,429,1232,1467,8381
2011-12,NBA,LAL,41,25,1,,29.7,6-7,226,,66,16065,2429,5319,.457,362,1112,.326,2067,4207,.491,1202,1589,.756,799,2251,3050,1485,390,351,997,1109,6422
2010-11,NBA,LAL,57,25,1,,30.2,6-7,220,,82,19830,3128,6757,.463,524,1487,.352,2604,5270,.494,1541,1979,.779,989,2616,3605,1801,602,422,1073,1555,8321
2009-10,NBA,LAL,57,25,1,,28.4,6-7,221,,82,19830,3144,6875,.457,532,1562,.341,2612,5313,.492,1519,1985,.765,973,2662,3635,1730,612,400,1096,1592,8339
2008-09,NBA,LAL,65,17,1,,27.4,6-7,216,,82,19780,3307,6981,.474,547,1516,.361,2760,5465,.505,1607,2087,.770,1015,2587,3602,1908,718,420,1103,1698,8768
2007-08,NBA,LAL,57,25,1,,26.7,6-7,219,,82,19780,3248,6818,.476,662,1751,.378,2586,5067,.510,1746,2270,.769,898,2722,3620,2003,654,438,1156,1691,8904
2006-07,NBA,LAL,42,40,2,,25.3,6-7,222,,82,20030,3103,6664,.466,608,1724,.353,2495,4940,.505,1660,2221,.747,886,2495,3381,1850,600,421,1273,1889,8474
2005-06,NBA,LAL,45,37,3,,25.1,6-8,222,,82,19855,2992,6607,.453,552,1583,.349,2440,5024,.486,1618,2172,.745,970,2488,3458,1734,628,350,1143,1894,8154
2004-05,NBA,LAL,34,48,4,,26.0,6-6,214,,82,19780,2895,6629,.437,644,1813,.355,2251,4816,.467,1661,2137,.777,1028,2511,3539,1672,508,344,1176,1794,8095
2003-04,NBA,LAL,56,26,1,,29.8,6-7,228,,82,19855,3028,6676,.454,365,1115,.327,2663,5561,.479,1631,2352,.693,1001,2535,3536,1948,682,379,1132,1732,8052
