Year|Artist|Title|Genre|Length|Lyrics

1940|Bing Crosby|White Christmas|Jazz|182|I'm dreaming of a white Christmas Just like the ones I used to know (Ooo) Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write (Ooo) "May your days be merry and bright And may all your Christmases be white" I'm dreaming of a white Christmas Just like the ones I used to know (Ooo) Where the treetops glisten and children listen To hear (To hear the sleigh bеlls in the snow) I'm dreaming of a white Christmas Just like the ones I used to know (Ooo) Where the treetops glisten and children listen To hear (To hear the sleigh bеlls in the snow) I'm dreaming of a white Christmas (*whistling*) With еvery Christmas card I write (Mmm) "May your days be merry and bright And may all your Christmases be white" (Mmm) Mmm-mmm-mmm (Mmm)
1945|The Andrew Sisters|Rum and Coke-cola|Pop|188|If you ever go down Trinidad They make you feel so very glad Calypso sing and make up rhyme Guarantee you one real good fine time Drinkin' rum and Coca-Cola Go down Point Cumana Both mother and daughter Workin' for the Yankee dollar Oh, beat it man, beat it Since the Yankee come to Trinidad They got the young girls all goin' mad Young girls say they treat 'em nice Make Trinidad like paradise Drinkin' rum and Coca-Cola Go down Point Cumana Both mother and daughter Workin' for the Yankee dollar Oh, you vex me, you vex meFrom Chacachacare to Mono's Isle Native girls all  dance and smile Help soldier celebrate his leave Make every day like New Year's Eve Drinkin' rum and Coca-Cola Go down Point Cumana Both mother and daughter Workin' for the Yankee dollar It's a fact, man, it's a fact From Chacachacare to Mono's Isle Native girls all dance and smile Help soldier celebrate his leave Make every day like New Year's Eve From Chacachacare to Mono's Isle Native girls all dance and smile Help soldier celebrate his leave Make every day like New Year's Eve In old Trinidad, I also fear The situation is mighty queer Like the Yankee girl, the native swoon When she hear der Bingle croon Drinkin' rum and Coca-Cola Go down Point Cumana Both mother and daughter Workin' for the Yankee dollar Out on Manzanilla Beach  G.I. romance with native peach All night long, make tropic love Next day, sit in hot sun and cool off Drinkin' rum and Coca-Cola Go down Point Cumana Both mother and daughter Workin' for the Yankee dollar It's a fact, man, it's a fact Rum and Coca-Cola Rum and Coca-ColaWorkin' for the Yankee dollar
1950|Gordan Jenkins and the Weavers|Goodnight Irine|Folk|245|I asked your mother for you She told me that you was too young I wish dear Lord that I'd never seen your face I'm sorry you ever were born Irene good night Irene good night Good night Irene, good night Irene I guess you're in my dreams Sometimes I live in the country Sometimes I live in town Sometimes I haves a great notion Jumping in, into the river and drown Irene good night Irene good night Good night Irene, good night Irene I guess you're in my dreams Stop ramblin' and stop gamblin' Quit staying out late at night Go home to your wife and family Stay there by the fireside bright Irene good night Irene good night Good night Irene, good night Irene I guess you're in my dreams I love Irene, God knows I do I love her 'til the sea runs dry If Irene turns her back on me I'm gonna take morphine and die
1955|Perez Prado|Cherry Pink And Apple Blossom|Jazz|179|It's cherry pink and apple blossom white When your true lover comes your way It's cherry pink and apple blossom white The poets say The story goes that once a cherry tree Beside an apple tree did grow And there a boy once met his bride to be Long long ago The boy looked into her eyes, it was a sight to enthrall The breezes joined in their sighs, the blossoms started to fall And as they gently carressed, the lovers looked up to find The branches of the two trees were intertwined And that is why the poets always write If there's a new moon bright above It's cherry pink and apple blossom white When you're in love
1960|Percy Faith|Theme from’ A Summer Place|Waltz|145|
1965|Sam The Sham and The Pharaohs|Wooly Bully|Rock and Roll|140|One - two - three - quatro Ya, Wolly Bully Henry told Betty 'bout the things she saw Had two big arms and a wooly jaw Wolly Bully, Wolly Bully Wolly Bully, Wolly Bully, Wolly Bully Henry told Betty, better take no chance, Lets not be upsetta And come and learn to dance Wolly Bully, Wolly Bully Wolly Bully, Wolly Bully, Wolly Bully Henry told Betty, better take no chance, Lets not be upsetta And come and learn to dance Wolly Bully, Wolly Bully Wolly Bully, Wolly Bully, Wolly Bully Henry told Betty 'bout the things to do Get that someone really, to pull the wool with you Wolly Bully, Wolly Bully Wolly Bully, Wolly Bully, Wolly Bully Wolly Bully, Wolly Bully, Wolly Bully
1970|Simon and Garfunkel|Bridge Over Troubled Water|Pop|290|Ooh, when you're weary, feeling small When tears are in your eyes, I'll dry them all I'm on your side, oh, when times get rough And friends just can't be found Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part, oh, when darkness comes And pain is all around Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down Oh oh I will lay me down Sail on silver I will lay me down Sail on silver, girl Sail on by Your time has come to shine All your dreams are on their way, yeah See how they shine Oh, if you need a friend I'm sailing right behind Like a bridge over troubled waters I will ease your mind, oh I will ease your mind Like a bridge over troubled water I will ease your mind...oh, oh, oh Like a bridge over troubled water I will be your guide, baby I will be by your side
1975|Captain and Tennille|Love Will Keep Us Together|Rock|204|Love Love will keep us together Think of me, babe whenever Some sweet talking girl comes along Singing his song Don't mess around You just got to be strong Just stop Cause I really love you Stop, I'll be thinking of you Look in my heart And let love keep us together You You belong to me now Ain't gonna set you free now When those girls start hanging around Talking me down Hear with your heart And you won't hear a sound Just stop Cause I really love you Stop, I'll be thinking of you Look in my heart And let love keep us together Young and beautiful Someday your looks will be gone When the others turn you off Who'll be turnin' you on I will, I will, I will I will, be there to share forever Love will keep us together I said it before And I'll say it again While others pretend I need you now and I need you then Just stop Cause I really love you Stop, I'll be thinking of you Look in my heart And let love keep us together Whatever Whatever, I will, I will, I will, I will You better stop Cause I really love you Stop, I've been thinkin' of you Look in my heart And let love keep us together Whatever Whatever, I will, I will, I will
1980|Blondie|Call me|Rock|135|Color me your color, baby Color me your car Color me your color, darling I know who you are Come up off your color chart I know where you are coming from Call me (Call me) on the line Call me, call me any, anytime Call me (Call me) I'll arrive You can call me any day or night Call me Cover me with kisses, baby Cover me with love Roll me in designer sheets I'll never get enough Emotions come, I don't know why Cover up love's alibi Call me (Call me) on the line Call me, call me any, anytime Call me (Call me) I'll arrive When you're ready we can share the wine Call me Ooh, he speaks the languages of love Ooh, amore, chiamami, chiamami Ooh, appelle-moi, mon chéri, appelle-moi Anytime, anyplace, anywhere, any way Anytime, anyplace, anywhere, any day, any way Call me Take me out and show me off And put me on the scene Dress me in the fashions of the 1980s You're a man, no in-between You know what your words can mean Call me (Call me) on the line Call me, call me any day or night Call me (Call me) I'll arrive Call me, call me into overtime Call me Call me (Call me) my love Call me, call me any, anytime Call me (Call me) for a ride Call me, call me for some overtime Call me (Call me) my love Call me, call me in a sweet design Call me (Call me), call me for your lover's lover's alibi Call me (Call me) on the line Call me, call me any, anytime Call me, ah-ha, call me, ah-ha-ha Call me, ah-ha-ha, call me any day or night Call me, ooh-ooh-ah-ha-ha, ooh-ooh-ha-ha-ha Call me, ah-ah-ooh Call me, my, my sleek designs Call me for a ride, call me inside Call me, all night, all day, ah-ha Call me Ooh-ooh-ooh-ooh-ah-ah-ah Call me (Call me) in my life Call me, call me any, any time Call me (Call me) I'll arrive Call me, call me for some overtime Call me (Call me) in my life Call me, call me and my sleek designs Call me (Call me), call me for your lover's lover's alibi Call me (Call me) in my life Call me, call me any, any time Call me (Call me) Ooh-ooh-ooh Call me, oh-oh Call me (Call me) in my life Call me, call me any, any time
